epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,5245.71,1.11888,1.53937,1.04451,1.31354,0.8163,0.69076,0.7328,0.47839,0.71882,0.60643,0.56581,0.18515,1.04915,0.99167,2.48758,0.98993,0.0014258,0.0014258,0.0014258
31,5419.21,1.1232,1.54062,1.05298,1.31344,0.7925,0.67871,0.71119,0.45335,0.69591,0.61578,0.56701,0.18225,1.08448,0.99072,3.01109,1.00728,0.001406,0.001406,0.001406
32,5592.38,1.12017,1.5151,1.04446,1.30987,0.7097,0.66265,0.67476,0.45696,0.65162,0.59438,0.52973,0.17129,0.98722,0.98957,2.73277,0.99282,0.0013862,0.0013862,0.0013862
33,5764.97,1.12888,1.5385,1.04041,1.31642,0.70811,0.67227,0.70468,0.46207,0.63213,0.55898,0.52648,0.16966,1.04899,1.00299,2.39081,1.00862,0.0013664,0.0013664,0.0013664
34,5937.96,1.11461,1.56283,1.02656,1.29863,0.80241,0.69478,0.71072,0.46029,0.69581,0.60643,0.54176,0.16835,0.96185,1.00237,2.16918,0.96678,0.0013466,0.0013466,0.0013466
35,6110.35,1.08603,1.50848,1.01007,1.28801,0.74368,0.68749,0.71223,0.47427,0.60795,0.59036,0.50427,0.17361,1.01546,1.02423,2.46246,1.0092,0.0013268,0.0013268,0.0013268
36,6282.68,1.0946,1.52373,1.00567,1.28627,0.80702,0.70683,0.71946,0.47598,0.72069,0.62651,0.56141,0.1809,1.02342,0.99041,2.02483,0.99132,0.001307,0.001307,0.001307
37,6454.99,1.09441,1.51202,1.00849,1.29031,0.78597,0.63855,0.72684,0.50278,0.66268,0.58635,0.54192,0.18632,0.94664,0.99266,2.15877,0.93927,0.0012872,0.0012872,0.0012872
38,6627.3,1.07961,1.52237,0.99918,1.27906,0.70291,0.70281,0.71299,0.49763,0.69831,0.55776,0.55649,0.18674,0.96157,1.01542,2.03567,0.97707,0.0012674,0.0012674,0.0012674
39,6800.06,1.08282,1.52578,0.98414,1.27922,0.76411,0.68948,0.7096,0.47744,0.64775,0.5743,0.52922,0.17515,0.95911,1.00081,2.48356,0.96146,0.0012476,0.0012476,0.0012476
40,6972.66,1.08532,1.52162,0.99221,1.28652,0.7982,0.70281,0.73141,0.48961,0.70297,0.61847,0.572,0.18435,0.96165,0.96614,2.20343,0.96284,0.0012278,0.0012278,0.0012278
41,7145.06,1.05996,1.49682,0.97685,1.2692,0.73577,0.72289,0.71792,0.47007,0.63494,0.59374,0.50608,0.16149,0.98514,1.0067,2.03674,0.96856,0.001208,0.001208,0.001208
42,7317.45,1.07034,1.51061,0.9623,1.26432,0.7969,0.72289,0.74399,0.51058,0.69573,0.62446,0.57264,0.18618,0.94966,0.98661,1.80618,0.95473,0.0011882,0.0011882,0.0011882
