epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2593.07,0.94341,1.4435,0.87858,1.11143,0.81741,0.71486,0.78168,0.54849,0.68777,0.63052,0.59746,0.19326,0.86831,0.98718,0.98434,0.87943,0.0014258,0.0014258,0.0014258
31,2679.42,0.93747,1.47825,0.85119,1.10014,0.79165,0.73248,0.76341,0.54921,0.69551,0.64257,0.6,0.201,0.85169,0.98504,1.27413,0.89408,0.001406,0.001406,0.001406
32,2765.29,0.93501,1.47834,0.85838,1.09115,0.84396,0.71681,0.7631,0.53656,0.76332,0.64762,0.62767,0.21168,0.87775,0.96035,0.90272,0.89179,0.0013862,0.0013862,0.0013862
33,2851.79,0.94014,1.46993,0.85376,1.09588,0.80709,0.72691,0.77068,0.52952,0.73366,0.60846,0.60152,0.19655,0.90712,0.99998,1.08854,0.91015,0.0013664,0.0013664,0.0013664
34,2936.85,0.94198,1.47258,0.85775,1.09836,0.8049,0.71888,0.75586,0.51957,0.71041,0.61847,0.60304,0.20791,0.94402,0.97121,1.05587,0.92883,0.0013466,0.0013466,0.0013466
35,3020.4,0.92164,1.44598,0.85433,1.08692,0.81171,0.74446,0.76616,0.54558,0.69293,0.63052,0.58847,0.18973,0.88874,0.99348,1.16646,0.92647,0.0013268,0.0013268,0.0013268
36,3103.72,0.91451,1.44756,0.82477,1.08745,0.77275,0.6965,0.75654,0.5336,0.6681,0.59839,0.57699,0.18006,0.89701,0.98868,1.16467,0.90994,0.001307,0.001307,0.001307
37,3186.97,0.92253,1.44413,0.83382,1.08447,0.78745,0.73494,0.76624,0.55978,0.70307,0.64257,0.63656,0.21523,0.84097,0.96695,1.0426,0.88993,0.0012872,0.0012872,0.0012872
38,3270.45,0.90964,1.42276,0.82517,1.0872,0.87764,0.72017,0.78106,0.56479,0.81271,0.64659,0.66393,0.22064,0.87882,0.97742,0.88048,0.89798,0.0012674,0.0012674,0.0012674
39,3353.93,0.90978,1.44382,0.84636,1.0828,0.77562,0.751,0.77596,0.5596,0.65726,0.64257,0.60435,0.1967,0.86795,0.99018,1.27234,0.867,0.0012476,0.0012476,0.0012476
40,3437.47,0.9055,1.45214,0.81036,1.08684,0.84213,0.71888,0.7805,0.58003,0.7422,0.62437,0.64019,0.2244,0.80792,0.96074,1.00301,0.86395,0.0012278,0.0012278,0.0012278
41,3521.27,0.89089,1.44577,0.80447,1.07693,0.81815,0.70467,0.76109,0.54678,0.7304,0.62651,0.63699,0.22118,0.8598,0.97077,0.86894,0.88996,0.001208,0.001208,0.001208
42,3604.99,0.9099,1.46623,0.82987,1.08616,0.83495,0.69075,0.7707,0.57025,0.69339,0.64257,0.61755,0.20584,0.81733,1.0011,1.04518,0.86663,0.0011882,0.0011882,0.0011882
43,3688.4,0.88798,1.43611,0.80441,1.07403,0.78959,0.75356,0.79683,0.5854,0.70989,0.62249,0.61707,0.22023,0.81139,0.95027,0.89387,0.85623,0.0011684,0.0011684,0.0011684
44,3772.11,0.88228,1.42375,0.80345,1.07174,0.87915,0.7012,0.78355,0.57664,0.81071,0.63642,0.65782,0.22781,0.82992,0.96586,1.09857,0.86467,0.0011486,0.0011486,0.0011486
45,3855.74,0.89765,1.43444,0.81756,1.07712,0.83667,0.7612,0.78638,0.58806,0.75696,0.68797,0.65617,0.2161,0.7946,0.96331,0.91053,0.8557,0.0011288,0.0011288,0.0011288
46,3939.32,0.88415,1.42207,0.79365,1.07253,0.88012,0.71084,0.79234,0.59565,0.79638,0.62249,0.62898,0.22102,0.79344,0.97318,0.87891,0.8461,0.001109,0.001109,0.001109
47,4023.04,0.88205,1.42491,0.78441,1.07477,0.86391,0.71385,0.77694,0.59214,0.76184,0.62951,0.62705,0.21793,0.78341,0.96661,0.82053,0.8466,0.0010892,0.0010892,0.0010892
