epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.61,3.8673,3.26794,3.27896,3.48937,0.02102,0.02008,0.00348,0.0006,0.02482,0.04418,0.0038,0.00068,3.08341,1.50215,5.39521,2.38408,0.000666003,0.000666003,0.000666003
2,514.46,2.99394,2.05052,2.4705,2.80366,0.1409,0.16064,0.06191,0.01538,0.1968,0.21687,0.10448,0.02587,2.6142,1.26207,5.7056,2.03724,0.0010688,0.0010688,0.0010688
3,762.963,2.64521,1.84118,2.23124,2.52873,0.24393,0.23695,0.14132,0.03535,0.3684,0.31858,0.21993,0.05559,2.4582,1.20722,6.14718,1.77885,0.0012076,0.0012076,0.0012076
4,1010.84,2.29817,1.78729,1.99094,2.24751,0.27978,0.2249,0.16278,0.04506,0.40178,0.34137,0.26523,0.07466,2.32466,1.06797,3.72677,1.6686,0.000812,0.000812,0.000812
5,1257.33,2.07921,1.709,1.81891,2.08996,0.34008,0.36948,0.27471,0.08464,0.37702,0.43373,0.29775,0.08173,2.15358,1.0875,3.24591,1.6081,0.000416,0.000416,0.000416
